x,g_hat,sigma2_hat,a_hat,b_hat
-2.242735568415031,886.5898063213695,550.9583092972691,7.749117918827759,36.06168726850482
-2.1274128585509353,912.7315351604366,552.9418518389994,8.021453844860712,73.59389470747524
-2.01209014868684,937.4212373199565,555.252660857461,8.264236964624375,117.80343258200408
-1.8967674388227445,955.2176610701407,558.1356915773453,8.418577998473378,156.08199926384563
-1.7814447289586486,962.6802556402605,561.3250853860843,8.458598508269315,177.85772984695083
-1.6661220190945532,959.041704589317,563.9957248414291,8.383907101849127,177.39721664247497
-1.5507993092304573,946.0616298017396,564.9978026926052,8.229039487888503,155.05784330558885
-1.4354765993663618,927.2567755374487,563.3091341276298,8.028440937145326,116.6117405541321
-1.3201538895022664,906.8596335580232,558.5372641756466,7.8330657397457415,70.89475506818201
-1.2048311796381705,888.8554168382421,551.2617562095628,7.69072640700906,26.59798393541147
-1.0895084697740751,876.319065828476,543.0482730274562,7.628048228917737,-10.683372184153896
-0.9741857599099797,871.098489393138,536.0799704101994,7.649316018585301,-40.11393457707043
-0.8588630500458834,873.753267373058,532.4982158647817,7.734009373919102,-65.41624060495009
-0.7435403401817879,883.6137948013886,533.6679556998334,7.832953735113643,-92.8940622377158
-0.6282176303176925,898.876037232425,539.6329271209718,7.927826283998921,-128.4262419141665
-0.5128949204535971,916.7452046941117,548.9777089154919,8.009620660589611,-174.57643981397604
-0.39757221058950165,933.7192322742176,559.1793630250279,8.070107199739828,-228.95357609932563
-0.28224950072540533,946.104746363741,567.357130255363,8.107207439219524,-284.5234662970013
-0.1669267908613099,950.7703805224728,571.1781812311928,8.097528417260731,-331.85671791492535
-0.051604080997214474,946.0007658751566,569.608812169782,8.020318792243767,-362.55467456725313
0.06371862886688096,932.1895109660744,563.2433657957715,7.895137516698816,-372.60027210262433
0.17904133873097638,912.0733874916365,554.0862767239789,7.744639099800199,-364.3323642553857
0.2943640485950727,890.3023071343073,544.85642492834,7.600479294800362,-346.18321006406495
0.40968675845916813,872.3451746275556,538.0569548583561,7.474244838525765,-330.1124533144431
0.5250094683232636,862.9812636362963,535.142468277325,7.411395440467138,-327.54093747762846
0.640332178187359,864.8225565396168,536.0836021042848,7.4707811566799345,-345.2128707153212
0.7556548880514544,877.3671523457651,539.4853490055744,7.589807158486636,-382.544933256656
0.8709775979155507,896.9580391739662,543.2112093366517,7.715628374880649,-431.5733608068191
0.9863003077796462,917.7440652905458,545.2756217658266,7.859881273947441,-479.71099129910056
1.1016230176437416,933.4013879368447,544.6636697915027,7.953880809291082,-514.4776506772796
1.216945727507837,939.0948142972265,541.7605636308582,7.896196799014153,-528.5476335521756
1.3322684373719325,933.0452450788624,538.2176602584411,7.749163918774363,-523.1893107318092
1.4475911472360288,917.1718474264893,536.2948824089822,7.561802448335779,-508.5980684639305
1.5629138571001242,896.5684386281027,537.9222099109412,7.285743334526024,-500.6461813658199
1.6782365669642196,877.956175411693,543.8383769950943,6.940492220930356,-514.8689006020016
1.793559276828315,867.596888795075,553.1471363275912,6.604680015024094,-559.6278409362834
1.9088819866924105,869.3335640793266,563.4837573912499,6.408668863541145,-630.9203125588442
2.024204696556507,883.3828898764856,571.7591731628191,6.424063934898472,-710.9944941084559
2.1395274064206022,906.2549199167455,575.2291657444782,6.593985006575095,-771.8199849002398
2.2548501162846977,931.8050331944668,572.503974332723,6.821487991629487,-782.8704505082534
2.370172826148793,953.0619616878562,564.1214620353007,7.044552516205196,-721.112139716649
2.4854955360128885,964.244393444649,552.4552010665813,7.211455251523112,-580.1004090013538
2.600818245876985,962.3494487283731,540.9659357402661,7.268236620879281,-375.05209094566806
2.7161409557410803,947.8677347817236,533.0451988280658,7.224399668723254,-141.77301685018034
2.8314636656051757,924.481108494078,530.8548797066243,7.159877406231719,70.88096517179062
2.946786375469271,897.9201381899195,534.577653654122,7.065434613194022,213.2835663966951
3.0621090853333666,874.3901920710645,542.3537449187202,6.875152702810909,248.69181193828496
3.177431795197462,859.0506381980387,550.9379734123406,6.612832337984113,164.23437449719455
3.2927545050615574,854.9450716101445,556.8537819929525,6.439211506112481,-24.236628604548017
